field_id,farm_id,field_nm,stat_cd,field_use_cd,acres,country,entrpr_guid,crt_dt,upd_dt
110592,50198,Rock Pile,A,PROD,99.8,United States,dcdca532-81f0-4cc5-a4c6-c2f640069200,2014-12-13,2015-11-25
111593,50548,Trial Block 36,A,TRIAL,169.0,United States,7823a0ee-5c0b-4cc5-8b5d-821bb1579d4f,2019-11-28,2025-07-05
111561,50540,Trial Strip 32,A,TRIAL,160.1,Canada,11780a00-ccac-492b-b14a-8435d5edbda6,2013-03-01,
110812,50276,West 160,A,PROD,99.8,United States,9507b527-2b20-4f3b-8346-3ff6ba16760a,2017-10-05,2022-09-24
111116,50379,Long Strip,P,PROD,145.8,United States,978f82c6-b280-49ad-bbbb-16fbbf10ca9c,2020-08-19,2021-02-07
110735,50247,North 80,A,PROD,137.9,United States,c79b665c-9e98-4128-a1d0-0403f25fc127,2013-05-07,
110030,50009,Back 40,A,PROD,176.4,Canada,9b7193ff-8f01-4211-956f-4ee9708cc2a8,2014-06-06,2022-02-26
110692,50232,Dryland North,A,PROD,,United States,4a1e2cac-49e1-454e-84d9-ebc9ce14baed,2014-11-12,
110475,50158,Pivot 2,A,PROD,100.8,United States,3c8b3449-c5a6-4283-a009-040e39675faf,2017-11-23,2022-03-23
111390,50493,Old Orchard,A,PROD,257.7,Australia,30773d3f-6018-4bf6-b5fa-e332a5e4d584,2016-02-04,2025-08-13
110076,50026,Fence Line 60,A,PROD,175.2,United States,cbb2ce63-d72d-46e3-a769-e49ffb94772d,2017-02-04,2022-06-04
110463,50155,Creek Field,A,PROD,10.1,Canada,0911512d-e7d0-49eb-ae04-790a79a253b6,2011-07-30,2022-04-30
110073,50023,Dryland North,A,PROD,125.5,Canada,e76127cd-b71b-47f8-b0bd-3e69ca27b7a0,2013-11-27,
111545,50535,Trial Strip 33,A,TRIAL,314.3,United States,1aff9236-1db7-40f0-9d1b-da6f55d3f25e,2012-12-31,2022-12-17
110529,50177,Big Field,A,PROD,309.9,United States,312c7495-9eae-434c-af79-0be628154731,2017-06-02,2021-01-04
110191,50064,Rock Pile,A,PROD,,Canada,dd197395-ff37-4f66-a760-a96b3b188574,2015-05-10,2018-08-04
110212,50070,Creek Field,A,PROD,255.8,United States,b1169d4d-993f-470d-b170-e3e499a533fd,2018-08-18,2025-04-30
110164,50053,Dryland North,A,PROD,215.7,United States,9be48182-d1ac-448e-a1e5-84336a00245e,2012-12-22,
111135,50404,Rock Pile,P,PROD,30.9,United States,b6ddb413-2ce5-4b14-8746-e86bf842cd7d,2018-09-20,2025-03-01
110878,50297,East Quarter,A,PROD,211.8,United States,,2022-10-01,2025-11-30
111168,50428,Big Field,A,PROD,92.4,United States,41a2ebe6-c62c-4382-97f0-81b8ee0e349d,2021-02-05,2021-05-30
110717,50241,Sandy Knoll,A,PROD,119.4,United States,c435b855-b737-4843-bd61-deda5467e3d9,2013-09-11,2016-02-09
110242,50081,Flat 120,A,PROD,317.5,United States,4c9d54e6-6175-4ae9-bb5e-2a5211302475,2023-12-28,
110579,50194,Long Strip,A,PROD,235.0,United States,193c2389-acf2-4a0a-9364-e96dcc9df00f,2017-04-20,2023-04-01
110283,50094,Pivot 1,A,PROD,122.1,United States,8e5e9a29-07be-4d35-bff3-5b8fda957bfa,2015-07-10,2022-02-05
111086,50366,Bench Field,A,PROD,175.9,United States,d0b69ec1-166b-4b56-8b1b-d76cd5a1c95e,2011-06-25,
111338,50479,Sandy Knoll,A,PROD,202.6,Australia,c3449e37-df41-4e3b-916b-2c99bfdb963b,2014-11-11,2019-05-24
110570,50190,Home Field,A,PROD,303.9,United States,19115245-8d21-4a22-a635-9ff884b39721,2019-05-15,2022-01-10
110444,50149,Pivot 1,A,PROD,45.2,United States,3973d36a-91eb-4c5f-9159-a22d63294fd1,2012-01-19,2012-04-07
111408,50498,River Bottom,A,PROD,205.3,Australia,49be2fb2-2d13-4abc-a6dc-b97ba2eba8be,2023-12-22,2025-03-15
110298,50099,North 80,A,PROD,,United States,52546a5f-c9b2-4c82-bad5-7187959714ab,2012-08-22,2024-01-01
110483,50161,Schoolhouse Field,A,PROD,41.5,United States,c9226141-b821-4bac-8bf7-d0a6f126d837,2016-03-20,
111524,50530,Trial Strip 20,A,TRIAL,43.5,United States,faefe7f4-1349-4486-8b00-046825046772,2017-01-16,2018-06-28
111630,50565,River Bottom,P,PROD,132.2,United States,10f3e59e-2dee-44e4-972e-c1a196f8b1f3,2024-11-08,2026-02-06
111329,50477,Pivot 3,A,PROD,240.9,Australia,beb64ff1-9bbe-4f7b-8100-502991811fc9,2018-04-27,
111696,50601,South 40,A,PROD,76.1,United States,69350844-1db2-4ec3-b657-e978846edc39,2017-12-12,2019-07-12
111482,50519,West 160,A,PROD,162.8,Australia,e1f8ddd4-9a0d-48cf-89db-c5babd883d15,2017-04-24,2024-10-26
110054,50017,Gravel Pit Field,A,PROD,81.3,United States,ea1dd279-1f06-498e-89b7-0cb502d3c208,2021-12-11,
110425,50141,Corner Piece,A,PROD,225.6,United States,4ad08b0f-4fb6-4a77-b33d-15672b113f5e,2021-08-13,2022-06-28
111004,50340,Big Field,A,PROD,,Canada,6552bc27-162c-446c-8adb-c769413efa18,2014-10-02,2026-06-11
110629,50211,Corner Piece,A,PROD,189.5,United States,82a5fbcf-d6a4-45cd-b2d9-438c89b28468,2011-12-28,2018-06-07
110930,50313,North 80,A,PROD,25.5,Canada,ca653ec3-42fc-4eaa-b0d6-f27f332a5e92,2013-09-20,2021-08-15
110129,50042,Bench,A,PROD,239.2,United States,191bb063-4483-4e2a-bbd4-6f7edc6550a3,2012-02-19,2015-08-24
111290,50465,Big Field,A,PROD,,United States,01ba97fd-094a-42d4-93ec-749825ea7c08,2017-12-11,2020-02-04
110702,50237,Home Field,A,PROD,47.9,United States,67359f55-ed11-4892-8d63-cea1774cff43,2016-11-03,2026-01-11
110773,50262,South 40,A,PROD,237.2,United States,46d94f42-c07f-4091-9265-f743174ccac2,2021-08-13,2024-11-07
111292,50465,South 40,A,PROD,190.3,United States,53eec319-f972-4bf7-8b86-fe87c6b80280,2012-08-13,2016-06-05
110994,50337,Home Field,A,PROD,296.8,Canada,,2020-11-17,2025-03-18
110165,50054,Home Field,A,PROD,253.5,United States,ad4a83b3-68e4-45c6-88e5-7858b2c79b86,2015-12-16,2020-02-02
111712,50609,Dryland South,A,PROD,258.0,United States,d8e8d996-90be-4238-ac41-02fe90d88b89,2018-12-11,2025-10-17
110505,50170,West 160,A,PROD,314.3,United States,a99e7b48-716c-4c2b-8dc9-582cb175a3c0,2020-04-18,2026-06-24
111625,50563,Pivot 3,P,PROD,92.2,Canada,1e907de9-32a9-4447-8eff-f06f1c9b9a11,2015-01-28,2015-11-25
111552,50538,Old Orchard,A,PROD,284.5,United States,550b6ecc-bb24-4224-ab62-e5fcaf88d250,2015-05-29,2022-08-19
111608,50555,Slough Field,P,PROD,28.7,United States,4ea0e0f0-5ece-403d-9ec2-7f49aa32238d,2012-06-05,2019-02-16
111074,50363,South 40,A,PROD,87.5,United States,2d2a3eac-3449-42cf-b06d-3698b5827715,2020-05-08,2025-09-28
110258,50085,Rock Pile,A,PROD,,Canada,4c048194-661d-493e-aa15-6b6bfef13a24,2012-04-16,2014-01-31
110383,50127,Corner Piece,A,PROD,265.9,United States,50de1233-af2e-44ef-8a7c-afb4a78b5e28,2018-12-22,
110352,50117,Fence Line 60,A,PROD,,United States,d81d03f9-10c2-41ab-a3df-a2c47c6d975f,2024-12-17,2025-04-04
110822,50278,Dryland North,A,PROD,88.5,Canada,8d75b3f9-334f-4996-a3d0-15665294e14e,2022-10-07,2024-07-23
111193,50435,Back 40,A,PROD,307.2,United States,ca979f16-d8d7-4845-9084-a129dffabf6b,2012-01-16,2024-07-10
111011,50342,Creek Field,A,PROD,87.0,Canada,589776f6-e8ea-4304-9c42-122e7bfd910b,2022-08-28,2024-11-30
110490,50164,Flat 120,A,PROD,19.8,United States,ba7091e0-6299-4b37-aa24-220f89a92fe6,2013-06-22,2018-12-28
110587,50197,Schoolhouse Field,A,PROD,298.0,United States,9895d915-2f2c-490d-8b2c-0c9a6760cc10,2017-03-10,2020-08-13
110441,50147,Pivot 3,A,PROD,160.6,United States,c70ac884-ca0c-469e-8a9b-4f0818edcd77,2023-12-09,2025-05-27
110858,50291,North 80,A,PROD,,United States,859c7b5c-fa7c-46cb-94c0-6ed7ea295e38,2021-01-06,2023-06-24
110808,50274,Triangle,A,PROD,231.5,United States,c7ac6de0-5c72-41c6-8f29-0318272349db,2022-07-16,
111298,50467,Dryland South,A,PROD,102.8,Australia,7db4112f-c795-474a-8a1c-e3f688f4d95d,2017-08-14,2022-06-07
111656,50581,Bench Field,P,PROD,163.6,United States,267f7963-a426-4a66-8503-b9c0cd6a1e93,2024-03-16,2026-03-30
111738,50619,River Bottom,D,PROD,76.9,Canada,a81f8b7d-ddeb-4a9f-bb73-ed8f776f8580,2020-04-14,2024-07-13
111102,50372,Flat 120,A,PROD,252.5,United States,2893f978-1244-4159-b5f9-7622140e806d,2017-07-09,2022-07-07
111115,50379,Old Orchard,P,PROD,299.3,United States,93131bf7-3811-4cd4-a8e0-34c93f1afdf6,2018-06-07,
111297,50467,Fence Line 60,A,PROD,216.0,Australia,957b3850-2e2b-4eca-9aa3-02d58f3a10b2,2018-02-01,2025-02-27
111132,50402,Highway Field,P,PROD,55.4,United States,09949027-b4f3-43e3-a065-99b22cab777a,2020-03-20,2025-04-27
111604,50553,Triangle,P,PROD,133.4,Canada,0d94712d-5a7b-4f14-8241-df7ec67237c3,2013-03-10,2016-12-03
111626,50564,Gravel Pit Field,P,PROD,190.3,United States,176ad96f-1380-41ff-9d9a-4aa939c1c593,2014-07-06,
110786,50267,Triangle,A,PROD,51.4,United States,5c97e941-fd4f-40af-b1d2-dd38dace0a7a,2014-10-19,2026-06-02
110237,50077,Slough Field,A,PROD,214.2,Canada,c803de2c-2ed2-4389-9f41-43c08e4cccb0,2014-10-23,2022-08-28
110615,50206,Pivot 2,A,PROD,272.6,United States,4faa3921-7f25-46a2-93ba-09511e8c6853,2021-04-10,
110740,50250,River Bottom,A,PROD,93.9,United States,32200691-41a2-4540-b5b7-801038ae2950,2019-11-28,2020-12-24
110616,50207,Rock Pile,A,PROD,208.3,Canada,6dfe6ecf-c71f-440b-b083-d2364ab4812b,2016-09-16,2017-07-30
110931,50313,East Quarter,A,PROD,160.6,Canada,b76d25ee-8054-4a4a-8f3a-87eb78a48b57,2016-07-10,2025-05-03
110787,50267,East Quarter,A,PROD,318.5,United States,35e8c0a7-aab9-443e-a88c-7c1a835b9f10,2024-05-30,
110365,50121,Pivot 1,A,PROD,99.3,United States,3b25ae3c-da51-44a9-bdfa-c48de118cc8d,2021-09-10,2022-04-24
110233,50077,Dryland South,A,PROD,24.5,Canada,d9210f54-2aed-45ff-904b-c1c344c403b2,2014-09-28,2016-12-28
110119,50039,East Quarter,A,PROD,213.8,United States,48716b42-141d-4b41-960b-8e1028767fca,2015-05-20,2020-09-15
110040,50011,Windmill Field,A,PROD,244.6,United States,ca5b822d-bcb4-4c98-b56a-f8bdea6aa55d,2021-04-09,2025-10-04
110111,50038,Slough,A,PROD,104.8,Canada,5245070a-232c-4e3c-bf2a-ae47ce52eda9,2020-10-31,2021-12-07
111734,50617,Pivot 1,A,PROD,167.4,United States,c22eb7a9-0975-4118-98ca-57ff774a856e,2023-10-31,2024-09-05
110209,50069,East Quarter,A,PROD,105.3,United States,92eb83ef-f49e-4a0b-a5b1-0cf11a32c8cc,2021-12-16,
110423,50142,Back 40,A,PROD,320.3,United States,5f805a22-f9ed-4e1b-8b4e-cb32c4c84afa,2022-04-03,
110119,50039,East Quarter,A,PROD,212.5,United States,48716b42-141d-4b41-960b-8e1028767fca,2015-05-20,2019-07-26
110903,50306,Dryland South,A,PROD,44.7,United States,,2018-08-27,
111495,50522,West 160,A,PROD,216.7,Australia,00dc2a64-4657-4ce3-968a-53a4ab9b511a,2016-11-21,2021-10-01
111224,50445,Triangle,A,PROD,143.1,United States,29d73730-9622-4a3c-af6c-e89b41d8b914,2023-06-01,2024-05-14
110410,50137,North 80,A,PROD,218.9,Canada,3815fcd9-637a-468f-9d0f-ecc14ece7e78,2016-10-14,2017-10-15
110959,50324,Bench Field,A,PROD,107.0,Canada,cc89ccc1-f507-4675-8822-c217fdeeb5cc,2013-02-10,2020-04-07
110764,50259,Long Strip,A,PROD,174.5,Canada,4986b16f-0991-48e7-abb9-1dd4a84e4ca4,2022-03-26,
110018,50007,River Bottom,A,PROD,260.5,Canada,4e9ef6b7-4668-4157-9884-057ce9f2bdfc,2022-06-06,2024-02-21
110195,50063,Gravel Pit Field,A,PROD,175.7,Canada,16f413dc-2fbe-4685-9d5f-14c2ba298ccc,2017-03-11,2021-08-02
110609,50205,Dryland South,A,PROD,128.7,United States,0dd86a7d-e84e-4dbd-ae8a-d34af06d18a3,2022-10-11,2026-04-03
110851,50289,Highway Field,A,PROD,138.9,Canada,fb216d38-632f-44a1-a498-cb84819d709a,2021-12-25,2024-06-20
110724,50244,Big Field,A,PROD,213.8,Canada,b9d6851b-ab4f-485f-9467-71660f7ff727,2021-09-08,2023-11-17
111035,50349,Triangle,A,PROD,,Canada,,2022-10-05,
110627,50210,Bench Field,A,PROD,25.2,United States,8242ef9d-1768-4b4d-88f5-405823c4a212,2018-07-04,2023-04-16
111289,50464,East Quarter,A,PROD,63.0,Canada,b181f375-b428-43bd-a591-ca7fff95dd5f,2018-03-04,2020-05-11
111231,50447,Big Field,A,PROD,31.4,United States,801d84bd-0c12-4bbc-b6cb-3b6fc259e106,2018-12-04,
111557,50539,Trial Strip 16,A,TRIAL,149.3,United States,348c97bc-6370-4a49-a228-d87ec7f9a5ba,2021-06-05,2021-12-02
111120,50385,Schoolhouse Field,P,PROD,201.6,United States,754d9e64-5507-4b6a-aa56-133418d7db5c,2017-01-10,2022-11-29
111059,50357,Fence Line 60,A,PROD,15.8,Canada,4c3baca0-7819-43fb-939c-91fce40732e4,2012-09-14,2020-08-05
110918,50310,Old Orchard,A,PROD,,Canada,ce5ebe6e-8e32-4a1d-a756-7437eba35c56,2020-12-26,2024-09-19
111465,50514,Pivot 1,A,PROD,254.3,Australia,e075e860-662a-44ba-bb63-57913ed9eacc,2024-08-31,2025-07-22
111502,50523,Sandy Knoll,A,PROD,171.2,Australia,3036afac-605f-4ba1-ac3f-0de2a9558da9,2022-03-05,
111678,50591,Bench Field,I,PROD,80.3,United States,33e5a03e-922e-49fb-b87f-edaeb9833ca5,2024-07-11,2025-09-25
111270,50458,Schoolhouse Field,A,PROD,299.5,United States,26922a39-be25-4390-a69a-e523d7891179,2021-09-18,2026-06-16
111512,50527,Highway Field,A,PROD,256.5,Australia,d2bf98bf-0eb5-4e15-b31f-9acaaf45ac07,2017-02-10,2020-01-13
110729,50246,Dryland North,A,PROD,207.8,United States,4c82cb0d-bd8d-4573-93fa-b43da8aaada2,2011-05-06,2011-12-05
111277,50461,Big Field,A,PROD,108.0,United States,85fe0759-1439-40cd-9cd5-c3c3cdc0f7f1,2024-02-08,2025-08-25
110314,50104,North 80,A,PROD,294.6,United States,dc4001cb-e1dc-48d7-abe8-f084e9ac2df9,2015-11-02,
111469,50516,Windmill Field,A,PROD,81.5,Australia,efd5bd57-a0b5-4231-8460-9e47a08cd195,2020-07-10,2025-11-04
110504,50170,Bench Field,A,PROD,278.0,United States,55388fa7-44dc-4175-a325-b152c920943c,2012-05-10,2013-02-09
110578,50194,Pivot 2,A,PROD,48.7,United States,a1cb6590-aab1-4022-95a7-e8ba739eb15b,2013-06-06,2014-01-01
111533,50532,Trial Strip 33,A,TRIAL,124.5,United States,62560430-8e6a-4aa2-9816-a691d92a68d5,2019-09-21,2026-06-14
111225,50446,Rock Pile,A,PROD,292.3,United States,3fcab767-928c-4682-b067-fd6417e61174,2012-11-18,2019-06-26
110059,50019,River Bottom,A,PROD,107.5,United States,df412588-d5de-48ce-a172-5e6cdb20f15f,2015-02-02,2025-06-07
111268,50457,West 160,A,PROD,268.4,Canada,345e754b-1586-41be-ae52-af0fa0d4e77a,2017-04-05,2021-08-03
110679,50229,Old Orchard,A,PROD,97.4,United States,8b0a92be-9784-4da0-ad27-5135c34ba9a4,2017-10-23,2019-05-15
110664,50223,Bench Field,A,PROD,117.1,United States,72c92243-4c10-44ef-9c26-9f475da1c64e,2013-12-05,2014-08-03
111602,50552,North 80,P,PROD,304.4,United States,c4cfccd8-7430-4970-b4e5-d23c5773fb82,2023-05-01,2024-12-15
110553,50185,Triangle,A,PROD,274.8,United States,a3794491-8cce-4cb5-a85f-ac08e2aaaabd,2011-12-08,
110232,50078,South 40,A,PROD,85.0,Canada,c8245c8f-77bd-4948-aa63-c116871059d3,2022-06-24,2025-06-30
111554,50539,Trial Strip 15,A,TRIAL,202.6,United States,efb02d91-e0e0-4f38-8dd1-6775e245f015,2024-01-14,2025-07-16
110525,50177,West 160,A,PROD,228.8,United States,e61ecd55-df55-4226-a3f4-b66708926ec2,2016-10-04,
110426,50143,Flat 120,A,PROD,,United States,37c5e3fe-d1d9-439a-a659-43c66ebb0d53,2019-06-02,2024-01-24
111620,50561,Pivot 1,I,PROD,278.7,United States,03878c7f-1e85-4b8a-93d6-ecbc0f874c85,2014-11-02,2018-06-14
111056,50357,Corner Piece,A,PROD,118.4,Canada,630ef90d-8c66-4f4a-a9dc-561884fc3675,2024-11-03,2025-03-30
110352,50117,Fence Line 60,A,TRIAL,,United States,d81d03f9-10c2-41ab-a3df-a2c47c6d975f,2024-12-17,2025-02-09
111589,50547,Trial Strip 34,A,TRIAL,34.8,United States,486e2ef8-eb64-4946-9f8c-faad9b953d85,2024-11-19,2025-12-28
110635,50213,Dryland North,A,PROD,,United States,4e798363-126e-4dee-a349-5ee2d62f3364,2017-05-30,2025-09-13
111639,50571,Triangle,I,PROD,308.4,Canada,d40e38d8-a15d-4b4e-b915-4192c6dbe77d,2017-05-22,2020-05-29
110100,50033,Creek Field,A,PROD,97.4,Canada,bf79b0ec-5b61-4c57-a7fb-e939649b01ea,2021-01-28,
111587,50547,Trial Strip 38,A,TRIAL,142.3,United States,ffe838ff-c2d5-4435-b8dc-2555ea49ca15,2011-06-22,
111214,50442,Bench Field,A,PROD,211.8,United States,2f926187-6da2-4669-af80-f7875c13918f,2021-11-10,2025-05-30
110790,50268,Home Field,A,PROD,11.9,United States,553e6dc6-4535-4806-afeb-aa99cfdf6a4d,2015-04-06,
110287,50096,River Bottom,A,PROD,35.6,United States,ee3fe35e-f02b-4636-98ca-4ea29e2c456e,2017-02-13,2018-01-11
110395,50131,West 160,A,PROD,14.3,Canada,16ddf486-76cd-484e-9a6e-86d2861a941f,2019-11-15,2023-12-14
110078,50026,Bench Field,A,PROD,258.7,United States,1b5dff80-7a0d-480d-9dc8-2a37a2c2cc00,2021-09-16,2023-01-03
110763,50258,South 40,A,PROD,192.7,Canada,4501f172-d5f6-4df0-97d6-77559cadca25,2021-05-19,2025-10-23
110654,50220,Schoolhouse Field,A,PROD,281.9,United States,ad243180-f6e2-4513-8774-41c1c001a8be,2012-07-20,2012-11-22
111601,50551,Sandy Knoll,I,PROD,114.9,United States,c051b831-bc13-4d63-93d8-14797faa647b,2018-02-27,
111034,50349,Long Strip,A,PROD,260.2,Canada,ca98ad29-bab6-4266-88ac-16609962b636,2020-09-13,
111398,50495,West 160,A,PROD,251.1,Australia,0a621f88-a661-42a7-89ca-62e207aa2e45,2013-09-11,
118203,55210,North 80,A,PROD,78.3,United States,8f4c2a1e-7d3b-4e9a-b6f0-2c5d8e91a374,2015-05-02,2026-01-27
111619,50560,Sandy Knoll,I,PROD,151.7,United States,5ead265b-2a56-45f2-8546-ec290b40cfe4,2022-05-24,2025-09-07
110859,50291,Long Strip,A,PROD,261.9,United States,f6d013d9-baf5-4102-a240-8ae90efd1312,2018-01-28,
111000,50336,Creek Field,A,PROD,,Canada,dbedc2f3-a1eb-48ab-a736-bb20bd611967,2012-11-18,
110407,50134,Long Strip,A,PROD,159.6,United States,cd1d8cb0-e3bd-4386-b5c2-dc42416416ad,2023-05-14,2023-07-05
111720,50612,Dryland North,A,PROD,96.6,United States,00000000-0000-0000-0000-000000000000,2012-03-28,2018-08-23
110934,50315,Gravel Pit Field,A,PROD,137.2,United States,0ce665b1-3ab4-4d90-a3fc-3db950c18e95,2023-09-27,2024-03-08
111137,50405,East Quarter,P,PROD,237.7,United States,7746899f-6fd1-418c-a9f3-f41ff7352fba,2014-04-28,2019-10-31
110750,50255,Slough Field,A,PROD,33.1,United States,9ac1adbe-3012-40b0-9902-0927fee27d0d,2013-11-23,
110052,50016,Dryland North,A,PROD,143.6,United States,0da53d1e-7db0-400b-90eb-6391c2c6c1e2,2020-10-18,2024-10-23
110829,50281,Gravel Pit Field,A,PROD,189.8,Canada,7c2cba94-3987-45ca-89d3-c369ceda8268,2016-02-23,
111336,50479,East Quarter,A,PROD,264.4,Australia,8186e074-3223-4b7b-8fc5-38a280b42d32,2014-08-11,2017-10-17
110003,50001,Corner Piece,A,PROD,133.7,United States,2bdbf1a3-d009-43d6-85a8-52450c2522b8,2011-04-03,2021-12-31
110149,50049,Big Field,A,PROD,99.1,United States,2d06d3f6-f37e-4f5e-b59b-434903d01cb9,2014-02-13,2018-08-21
110748,50253,Pivot 3,A,PROD,155.9,United States,cdba83cc-5471-4570-bbd8-dbf367d8dc13,2014-07-11,2021-05-20
110980,50331,Pivot 2,A,PROD,104.5,United States,3f28c74c-9676-4eca-a38a-4c1779350218,2020-02-23,2021-12-25
111431,50504,Pivot 1,A,PROD,47.7,Australia,188bbca8-e920-43d4-91f6-90d280769d6a,2021-06-24,
111730,50615,Highway Field,A,PROD,193.7,Australia,00000000-0000-0000-0000-000000000000,2019-01-03,2020-10-18
111409,50498,Home Field,A,PROD,267.6,Australia,80330d7b-c8a9-4b45-931b-9021881172f7,2017-10-21,2021-11-28
110008,50002,Highway Field,A,PROD,66.2,United States,938e7564-6056-4646-bd88-b453da6910e9,2023-09-06,2025-10-11
110346,50116,Back 40,A,PROD,264.7,Canada,a4d6cf3f-7611-4513-a360-71758cc8b492,2011-10-13,2020-11-21
110749,50252,Long Strip,A,PROD,280.7,United States,ca808a0a-6be9-4788-9f7e-a7fa68a136cc,2019-03-07,2022-11-30
111148,50423,Corner Piece,A,PROD,27.4,United States,42a7c81f-e6c5-4662-9822-df35c9110348,2016-05-19,2023-10-14
111340,50480,Triangle,A,PROD,12.4,Australia,f73b8b46-31a8-4f66-9d64-1aa7ec55dad3,2024-03-02,2026-02-28
110548,50182,Flat 120,A,PROD,162.4,United States,4df8e14c-c052-4b32-bf3d-fa5637076409,2014-07-01,
110538,50179,River Bottom,A,PROD,68.2,United States,1e7923fc-6929-4d7b-bbac-94c3c60234f5,2017-03-09,2023-04-12
110147,50048,Home Field,A,PROD,166.3,United States,4849c391-1099-4959-87c4-7ab2f81f3bd6,2012-08-23,2024-03-08
111657,50581,West 160,P,PROD,119.4,United States,4c4d16f8-2d17-435b-8e3b-364293ef63ea,2019-09-06,2020-06-01
111700,50605,Big Field,A,PROD,239.7,United States,0b035503-aa79-44db-8710-39d534479ca1,2018-12-05,2025-01-05
111313,50472,Sandy Knoll,A,PROD,299.0,Australia,61299fd5-9e3a-4639-825a-ba9f9c376e43,2017-08-09,2024-10-02
111259,50455,Home Field,A,PROD,123.3,Canada,e2483a48-fbde-4aa6-a102-0e9d63d00733,2024-08-05,2025-05-09
111264,50456,Pivot 1,A,PROD,60.5,United States,365efe98-3833-4f74-a1bc-ebe103991125,2019-08-19,
111167,50427,Schoolhouse Field,A,PROD,291.1,Canada,0b3c1279-b3cc-4a89-98df-a95ee16f57cc,2024-03-11,
111514,50528,Trial Plot 4,A,TRIAL,245.6,United States,fc9b0f6f-cb22-4ad8-982e-07f7a64d5f38,2013-12-14,2022-12-30
110969,50326,South 40,A,PROD,40.0,United States,c2f6e0c0-7f6b-4a43-abdf-805551b8aefa,2020-09-29,2026-05-07
110421,50142,Flat 120,A,PROD,184.3,United States,c0ef0e93-715f-47d9-af9e-30c94ed162a5,2023-04-23,2024-03-25
111691,50596,Flat 120,A,PROD,31.6,Canada,e601c638-aed2-4b93-8f84-de0353c330d2,2022-05-29,2024-12-14
110443,50147,Creek Field,A,PROD,25.0,United States,c9dac3f0-2745-42cb-b7b9-7e0ec95ed5bf,2012-06-09,
