grower_id,grower_nm,stat_cd,country,state_prov,entrpr_guid,crt_dt,upd_dt
20116,Rasmussen Acres Ltd,A,Canada,Alberta,2503af61-55f4-4c34-b30f-7238193cf391,2009-12-10,2020-06-12
20164,Baxter Acres Ltd,A,United States,Nebraska,683e5f22-3180-458f-965a-bc15e531e440,2010-12-08,
20289,Duval Acres Ltd,A,Australia,Western Australia,4b3f0f09-d6e8-4036-bded-3dcd9db10479,2018-01-01,2023-11-30
20215,Ziegler & Sons,A,United States,Indiana,fba4ecb6-28a7-479f-b46b-c2ed61f7340f,2011-06-07,2015-08-12
20087,Marsh Land & Cattle,A,United States,Illinois,ec5694f7-8b96-452a-9010-3c7a3acc1443,2021-01-19,
20114,Ferreira Ag Enterprises,A,United States,Illinois,da5f64c0-a4b0-4902-9d4e-259cc052b130,2017-07-11,2020-06-22
20204,Oberlin Family Farms Inc,A,United States,Illinois,74a511c8-34e8-468e-8695-00d5b14063ac,2016-12-30,2025-12-07
20060,Baxter Farms,A,Canada,Saskatchewan,56a08b4a-5fb5-482a-8acb-57308aa73f34,2010-03-23,2024-05-07
20216,Okafor Agri Partners,A,United States,Ohio,c147af93-1f08-4409-a28f-d8a42137c2d3,2022-07-28,2023-02-23
20178,Hartley Grain Co,A,Canada,Alberta,848e1398-8200-42eb-bd4b-ced4ce54454a,2011-09-16,2025-06-13
20050,Baxter Farming Co,A,United States,Wisconsin,0fdf5e55-4b0d-4bd6-9d5b-a90757264a4a,2014-03-11,2025-07-13
20291,Dietrich Grain Co,A,Australia,Western Australia,4ee03984-f972-4f6a-bc8f-e282083b6518,2022-02-01,2022-09-05
20370,Lockhart H. Ag Enterprises,I,United States,Ohio,d1144abb-ecb4-406e-8f07-b2f2d4d80993,2009-08-04,2010-03-19
20008,Hummel Family Farms Inc,A,United States,Nebraska,124ae477-e39b-4a71-8656-ee437ac8cd0f,2015-12-24,2016-10-17
20143,Delacroix Agri Partners,A,United States,Missouri,bdb5f3ba-e643-4f5d-9030-3d5a2ca2dac9,2010-11-26,2025-12-23
20217,Merriweather Land & Cattle,A,United States,Missouri,da09a7b7-c33b-45e4-bf8a-df489f6e382e,2016-04-19,2018-03-04
20234,Xiong Farming Co,A,United States,Nebraska,46cd5237-3466-441a-8629-52d362af99cd,2011-01-10,2025-12-14
20034,Duval & Sons,A,United States,Nebraska,207015b8-6219-4c3d-a662-5a15d3a09de4,2019-04-17,2021-12-01
20264,Callahan Agri Partners,A,United States,Nebraska,9441c623-b23e-4d33-957d-6c9275ed99a8,2009-02-26,2024-04-03
20001,Iverson Agri Partners,A,United States,Wisconsin,938af5ba-8697-4eec-a26f-7f5376f39fed,2014-02-10,2014-06-02
20298,Ziegler Farming Co,A,Australia,Western Australia,4beb5e2b-dcdf-4a4d-8ef4-1a52c3df8a33,2013-10-04,2015-03-30
20133,Pemberton Farming Co,A,United States,Nebraska,3d35748a-572e-4749-a6e9-007fca225b90,2015-08-28,2021-08-12
20214,Crenshaw & Sons,A,Canada,Manitoba,b95f0151-aec6-493d-a8fa-391e5e9e4428,2011-01-07,
20310,Ashworth Ag Enterprises,A,Australia,New South Wales,dc3bdcee-d0f6-44c2-92fc-a05eba48161a,2021-06-06,2023-07-09
20223,Boudreau Grain Co,A,United States,Indiana,c692983b-42aa-4de8-a44e-ea5d8b39beb2,2020-04-06,2021-01-08
20363,Xiong N. & Sons,I,Canada,Ontario,8e10b9eb-2e90-495d-847a-f23879aa461e,2013-09-13,2020-06-27
20246,Ivanov Land & Cattle,A,United States,Wisconsin,2fbb9164-cd37-41c9-b86d-2aa43e03ce92,2011-12-16,2025-03-15
20037,Prescott & Sons,A,United States,Missouri,c3bdd3c6-355b-454b-9962-2e0685d8e4b7,2015-03-24,2023-04-23
20315,Yoder & Sons,A,United States,Missouri,b124078d-f97f-4c25-8b87-7f57612e8640,2011-04-23,
20238,Dietrich Farms,A,United States,Nebraska,f07477d8-1550-449f-81e6-baf7e28758e8,2016-06-09,2022-12-20
20191,Drummond & Sons,A,United States,Nebraska,8bb20015-fadc-4ac1-96ef-63076f1dc383,2013-07-11,2014-04-22
20115,Underhill Acres Ltd,A,United States,Nebraska,9076a41f-d8fa-43be-9be2-df888291530b,2020-12-16,2022-11-27
20229,Callahan Ag Enterprises,A,United States,South Dakota,ee5629ee-bf60-4b3f-ad2e-6ba5dc22edf7,2011-07-30,2024-03-22
20075,Brenner Farming Co,A,Canada,Ontario,13be7d95-4600-4984-a175-2d80230686e3,2009-08-28,
20014,Delacroix Farms LLC,A,Canada,Alberta,6a7accdf-31b4-4476-b0cd-4c0d0d6c5193,2010-08-27,2024-09-01
20341,Albrecht H. Farms LLC,I,Canada,Ontario,c3f4d2f8-2aa1-495d-9001-7c8ba3c7e4ff,2020-11-11,2023-06-24
20155,Eastman Ag Enterprises,A,United States,Missouri,47d203e8-f2d1-4272-b6d2-ea466da8517c,2017-07-29,2024-12-21
20389,Reyes P. Agri Partners,A,United States,Illinois,1ce508d4-3601-43ed-b3e0-fa97e4484ee3,2009-06-17,2014-08-09
20401,Ivanov D. Ag Enterprises,A,United States,Indiana,f6689e54-3c10-49a5-bfdc-f0723e9bc9c3,2021-09-12,2023-02-19
20030,Drummond Farms,A,United States,South Dakota,31db76ad-6c13-4e00-869b-ca96d97d95eb,2015-11-08,2024-05-13
20145,Callahan Farms,A,United States,Iowa,fe04407a-6408-4838-ac6d-4f306d00a8fb,2021-07-22,2024-08-31
20255,Marsh Ag Enterprises,A,United States,Minnesota,0e8552a3-cca9-46bd-af8a-abbb25b806e6,2011-07-24,
20481,Hartley Family Farms Inc,A,United States,Iowa,c91b6a02-42fd-4e77-a8b3-91d0f2e6c554,2014-03-19,2025-11-02
20038,Whitaker Agri Partners,A,United States,Kansas,20905ec8-4e2d-490c-a8c3-b6be470f09c7,2020-08-31,2023-06-11
20387,Drummond K. Land & Cattle,A,United States,South Dakota,e3614b19-6eed-4257-82e2-0c5ebdcc6857,2016-09-11,2018-10-25
20294,Tollefson & Sons,A,Australia,Victoria,87595d17-b7ae-479e-8441-681378ad7452,2020-03-11,2024-08-06
20282,Holloway Farms,A,Australia,Western Australia,fe3d74c0-eae6-41bb-8278-2dae8f9df5c5,2018-06-06,2020-07-28
20382,Hummel J. Farms LLC,A,United States,Kansas,94ce6627-ee87-4728-879d-072a06bb6588,2017-11-18,2024-11-14
20309,Yancey Farming Co,A,Australia,New South Wales,77b5f426-d459-43ed-9d3e-fb4de7156838,2013-03-01,2022-07-19
20319,Oberlin Ag Enterprises,A,United States,Iowa,5125129d-8b75-4d2a-9815-8a004c5e51a8,2015-10-31,2022-11-29
20221,Prescott Land & Cattle,A,United States,Indiana,bd578fae-84d9-44e7-b522-3d3aba376b1f,2013-10-07,2018-11-19
20042,Castellano Land & Cattle,A,United States,Illinois,04f913d9-7253-4504-8e67-1b55a714339c,2021-05-25,2026-06-27
20340,Yancey Land & Cattle,P,United States,Illinois,8389b4f3-4fc8-4d14-9b79-94a35f00b916,2010-10-23,2012-01-28
20338,Ferreira T. Farms LLC,P,United States,North Dakota,7ad954bb-1268-40d3-a2de-7f8e81428034,2016-09-01,2019-09-29
20004,Ashworth & Sons,A,United States,Minnesota,f8767113-f85b-495a-83d9-b0accb1afe69,2015-02-10,2015-12-13
20262,Bergstrom & Sons,A,United States,Nebraska,fdc9fcf0-f11f-4d17-b435-3ad5f4de1cdb,2009-06-04,2015-07-21
20086,Reyes Grain Co,A,United States,Nebraska,f3ebd0cd-363e-45f0-8d26-b80b2c9fefac,2016-12-29,
20054,Eastman & Sons,A,United States,Missouri,411745e0-c244-4970-874b-2fad3ac7a011,2013-07-07,2021-12-27
20342,Girard Grain Co,I,United States,Minnesota,bc3e9c05-c157-4946-806a-dc2d53ce705d,2011-06-20,
20049,Marsh Grain Co,A,Canada,Saskatchewan,4610435a-5eba-48f2-980a-537de07f808c,2022-10-15,2025-04-19
20059,Duval Grain Co,A,United States,Indiana,2eefded9-c39e-4207-9c32-9f32920aade4,2019-01-12,
20205,Rasmussen Agri Partners,A,Canada,Saskatchewan,92bf5414-e045-4809-8c3d-9bb70ca7a99b,2022-07-03,2026-02-04
20017,Jablonski Land & Cattle,A,United States,Illinois,164e5fee-f62f-4901-824b-55a6459ab52c,2016-06-23,2023-04-08
20082,Lockhart Land & Cattle,A,United States,Wisconsin,b3cb542c-09d3-47ac-8b19-6a32b60b4595,2010-03-16,2017-12-03
20300,Xiong Grain Co,A,Australia,Victoria,c13f9ee7-4d27-4d51-927d-e3531a1e6013,2015-10-24,
20183,Pemberton Ag Enterprises,A,United States,Wisconsin,8be0eb42-e6c0-4343-9b5b-e86c268db1a2,2019-07-01,2025-03-19
20283,Boudreau Family Farms Inc,A,Australia,Victoria,83a930fe-de43-42dc-95b1-3e0beca40670,2010-05-11,2017-09-05
20372,Vandermeer N. Farms,I,Canada,Ontario,264bccfd-e4bd-4c88-8794-6c4f35b63782,2012-02-08,2015-01-08
20173,Duval Family Farms Inc,A,Canada,Manitoba,176b24d7-0c27-456e-98ae-02f05339be1e,2022-06-16,
20380,Steiner A. Farms LLC,A,Canada,Ontario,bf16adc7-cf90-4442-8fb9-afcd24e680f0,2014-04-01,2016-07-27
20384,Yoder F. Land & Cattle,A,United States,South Dakota,5f4c65d1-4715-462a-8d83-11df549edd7c,2019-04-04,2024-04-29
20098,Eastman Acres Ltd,A,United States,Indiana,31e2a7a7-28b7-4167-a6ab-0eade1fc6397,2012-08-30,
20326,Eastman Farms LLC,A,United States,South Dakota,f5a72a7f-b03a-46c5-b73b-c8d2d0670f84,2017-03-21,2021-06-17
20088,Girard Farming Co,A,Canada,Manitoba,af62548d-d397-4004-8537-80656d73c1bc,2017-08-12,2018-02-18
20180,Underhill Grain Co,A,Canada,Manitoba,dd379e60-d8f2-4898-8d47-8ff8cf70f41e,2013-12-25,2023-01-26
20065,Novak Family Farms Inc,A,Canada,Ontario,c5f8fab7-70b6-487b-b876-6fae9d6f42bc,2014-12-15,2016-08-18
20040,Yancey Agri Partners,A,United States,Ohio,a7adb883-f29d-4dd3-8c05-1cb0abe337aa,2017-05-25,2022-02-13
20273,Girard & Sons,A,Australia,Western Australia,60444786-6fa6-44f5-9b01-c0d84b127042,2016-05-13,2022-02-16
20316,Novak Agri Partners,A,United States,Kansas,25072200-370a-4fe1-8408-db71c38cd015,2013-03-01,2021-03-09
20190,Yancey Ag Enterprises,A,Canada,Alberta,aba32c4b-802b-4cbb-a7ef-d69f176eac60,2017-09-29,2021-10-01
20097,Oberlin Agri Partners,A,United States,South Dakota,d845b44c-fed5-4e9c-97fc-7e216de34171,2010-03-20,2019-11-01
20100,Holloway Acres Ltd,A,United States,Nebraska,381f6c2a-4ee7-4870-84ce-bf0c5986373f,2011-05-05,2011-08-07
20128,Hummel Ag Enterprises,A,United States,Indiana,890e68a6-6d27-4635-9be6-8eac655d3dbe,2019-07-23,2026-04-28
20252,Nordin Family Farms Inc,A,United States,Nebraska,507bdb70-b551-4d70-b948-cdbcf52ca6cb,2022-06-14,2025-08-21
20181,Castellano Farms LLC,A,Canada,Saskatchewan,f86a38db-4d6a-44ac-bbb3-5897257ddb1d,2012-03-01,2020-12-22
20225,Quandt Farming Co,A,United States,Ohio,da39846b-3847-4899-ae29-dc6ae96d4ab2,2017-01-11,2019-12-23
20270,Ziegler Family Farms Inc,A,Canada,Alberta,a6c5b2c8-c6d6-4976-aa1b-d27d59f124a1,2018-11-13,2025-05-23
20243,Baxter Agri Partners,A,Canada,Ontario,59712aa2-6d8a-43f9-b152-3336d120e9bc,2019-11-04,2023-08-13
20227,Xiong & Sons,A,United States,Wisconsin,3a206fad-f0b3-4353-b77a-22b5c5f28eb4,2015-09-05,
20288,Xiong Farms LLC,A,Australia,Queensland,6c2f8d28-0613-48ca-8884-1ad485e82848,2017-08-22,2022-06-24
20391,Holloway K. Farms LLC,A,United States,Ohio,0d47333f-fd62-4db7-9707-255cecd49a31,2016-09-09,2022-07-01
20348,Dietrich L. Farms LLC,P,United States,Missouri,34fddb74-7823-4721-bffd-44fec1224170,2018-03-22,
20036,Bergstrom Farms LLC,A,Canada,Manitoba,aab05f8e-6f64-4e9e-be47-ac553f40e47d,2015-11-10,2021-08-21
20197,Yoder Farms,A,Canada,Ontario,2760249e-7a77-4221-b4f4-6ebb5b808d1c,2020-06-24,2022-08-11
20096,Bergstrom Farming Co,A,United States,Nebraska,bd529115-ef9d-4fae-945e-57fa7809718c,2018-12-01,2024-07-28
20228,Boudreau Ag Enterprises,A,United States,South Dakota,ab9f1af1-5dc4-47af-9673-4180201f4728,2019-09-21,2025-06-26
20093,Lockhart Farms,A,United States,Minnesota,63b0e4ff-7fdd-4f13-b90b-6759d52db583,2022-10-21,2024-12-02
20208,Ziegler Ag Enterprises,A,United States,Illinois,38653a4a-435c-43b8-9030-f77d655e421a,2009-12-01,2016-03-14
20254,Reyes & Sons,A,United States,Ohio,87674177-50ef-4103-9079-647f73df964b,2021-12-06,2024-07-22
20127,Winters Farms LLC,A,United States,Kansas,ffb9e15e-9f00-4e7c-bf6f-91e603510a13,2012-01-20,2023-02-20
20076,McAllister & Sons,A,United States,South Dakota,fe269a22-d4de-439d-b632-8e051763512a,2012-04-25,
20285,Marsh Farming Co,A,Australia,Western Australia,656b9348-4c47-44d2-b35b-041e9878c09e,2017-02-25,
20077,Whitaker Grain Co,A,United States,Wisconsin,0ff05525-4b28-4701-af42-583e628b99fe,2015-01-26,2021-11-23
20375,Hummel A. Acres Ltd,I,United States,North Dakota,34ce5342-6a40-4a71-98e8-69980e138c5d,2018-09-18,2020-02-22
20251,Ashworth Farms LLC,A,United States,Missouri,02c8beb9-b643-400d-b922-c6ec6110a4cb,2013-08-31,2015-06-30
20296,Okafor Land & Cattle,A,Australia,Victoria,15b29add-6997-4792-8704-195c8aff53f1,2012-12-29,2014-02-20
20080,Delacroix Acres Ltd,A,United States,Missouri,4f44fa5c-70f1-4221-bdd2-50bf042a6400,2022-04-16,2025-03-18
20027,Drummond Ag Enterprises,A,United States,Minnesota,719a2817-5100-400d-9f62-0703c3f9ac72,2019-07-20,2023-03-19
20272,Hummel Farms,A,Canada,Ontario,5af53af6-670e-4c4a-83a1-f24c24847036,2012-11-24,
20120,Drummond Farming Co,A,United States,Nebraska,1513d4f0-3c24-48cc-a56c-f65b75397444,2010-08-11,2025-11-21
20013,Jablonski Acres Ltd,A,Canada,Ontario,470bb1be-1d2e-445f-9e98-52d3817a8c1d,2012-03-19,2021-09-19
20268,Prescott Farming Co,A,United States,Kansas,35257305-c071-4dc4-b0a6-57f856e6c97b,2021-04-16,2026-01-29
20376,Falkner D. Grain Co,I,Canada,Manitoba,3f3e3b69-f9d6-400a-b755-c6b714e3b03c,2022-04-22,
20353,Novak D. Grain Co,P,Canada,Ontario,4a6741a4-50c6-47d4-a454-6aeb98bbb8e1,2011-02-24,2011-12-02
20057,Reyes Agri Partners,A,United States,North Dakota,dae73d00-8776-464d-86ef-5b23f05ff867,2011-05-06,2013-11-29
20402,Brenner L. Agri Partners,A,Canada,Saskatchewan,54f37e3f-387d-442e-9848-a2fd7395e5ff,2021-11-07,
20314,Ivanov Acres Ltd,A,United States,Iowa,37c59450-65c1-4870-88dd-afd392a0ef95,2013-10-26,
20078,Kerrigan Acres Ltd,A,United States,Nebraska,b055b9a5-8425-4cb3-8270-5fed5f7a760f,2013-09-26,2017-03-04
20081,Merriweather Farms,A,United States,South Dakota,f1fdc400-0362-47cd-ad63-f3713c5ad62b,2021-08-05,2024-12-23
20018,Hartley Land & Cattle,A,Canada,Saskatchewan,c9a52d1f-0810-4b96-bf24-f07541962c5d,2021-03-25,
20023,Vandermeer Grain Co,A,Canada,Alberta,fb3b5da0-ebfd-4610-956d-cc7e71ee73e7,2018-08-09,2023-12-02
20347,Oberlin N. Farms LLC,P,United States,Illinois,8c24e77a-c638-4acb-b9e2-8fb8f73365fb,2019-06-05,
20198,Crenshaw Farms,A,United States,Illinois,c8881495-fec8-4f53-892b-8924b0efc330,2012-09-05,
20276,Ferreira & Sons,A,Australia,Victoria,bcdfa5cd-bd99-4937-9d63-8fab933fbc1b,2011-06-15,
20020,Callahan Land & Cattle,A,Canada,Manitoba,a6897331-8a77-4f22-bcd5-8f7ba099ad60,2018-07-31,
20043,Iverson Farming Co,A,United States,Kansas,e33517c5-1b3f-493a-be78-0b5f1a812b96,2011-12-16,2022-11-14
20239,Prescott Grain Co,A,Canada,Ontario,6b31a10a-14ba-4323-accf-60e2c78c12a2,2015-01-27,2020-07-03
20138,Pemberton Agri Partners,A,Canada,Alberta,5a85f342-cd4d-4320-8fd6-a4549034c49f,2011-08-31,2020-04-29
20176,Albrecht Agri Partners,A,United States,Ohio,d1262f71-d0b8-4390-9e8a-7fdd543687dd,2020-04-22,2020-08-05
20111,Thompson Agri Partners,A,Canada,Ontario,1af8f72f-2525-4e6a-b68d-e70d9b40dea6,2014-05-04,2018-09-28
20146,Yancey Acres Ltd,A,United States,South Dakota,618cba90-e3d2-4f0e-9989-fc8d6088f0c2,2022-03-16,2025-07-05
20237,Jablonski Farming Co,A,United States,Minnesota,9f74b498-eb6d-4292-81a4-136cfd8be95f,2018-12-19,
20177,Winters & Sons,A,United States,Kansas,bf2919d1-783b-4902-80aa-8128dca3fec0,2009-11-05,2009-12-17
20312,Reyes Farms LLC,A,United States,Nebraska,6c666b50-e8b4-4e6c-8de7-9fc0df549f14,2015-10-02,2024-05-27
20313,Duval Farms,A,United States,Indiana,39bbd40d-f0d1-4482-b724-24f157bea55e,2013-12-03,
20195,Falkner Grain Co,A,United States,Kansas,48cb1ede-a4c7-4254-be74-0b491ced6805,2009-10-19,2025-04-19
20053,Tollefson Ag Enterprises,A,United States,Ohio,316a238d-e396-49ac-b8ba-29725a44e704,2011-08-25,2020-07-17
20292,Okafor Farms,A,Australia,Queensland,824592bf-131c-432c-ad61-56b6c5c313f1,2021-04-30,2026-02-12
20019,Winters Grain Co,A,United States,South Dakota,2fc5f93e-6e49-4a30-9fe5-154dc62faeb8,2010-05-15,2022-09-21
20194,Albrecht & Sons,A,United States,Wisconsin,7e3680ea-d4be-4c74-8507-cecd2b06ff9e,2013-07-12,2018-08-04
20311,Novak Land & Cattle,A,United States,South Dakota,814234fb-da19-4074-bbcd-ae9518a3827d,2015-10-19,2025-07-23
20083,Brenner Land & Cattle,A,Canada,Ontario,dbb8fe68-ad64-461a-810b-268ec81817d7,2012-01-14,2021-01-31
20009,McAllister Ag Enterprises,A,United States,Nebraska,53c4b91c-6cdf-49a3-aa03-65dfe4568853,2010-08-03,2022-09-14
20304,Pemberton Farms,A,Australia,New South Wales,64ea9109-7eeb-42c9-abf2-01cfa9091cf1,2021-02-28,2025-12-30
20136,Thompson Farms,A,United States,Nebraska,5ab5e70c-4608-4b5e-a963-5cc17ce71194,2020-08-05,
20125,Castellano Grain Co,A,United States,Missouri,e778449a-2580-4955-af72-f5b1852ba652,2020-02-28,2026-03-13
20295,Quandt Farms LLC,A,Australia,Victoria,e4a8b581-767d-4801-a239-5fe77754f5a9,2017-05-01,2021-06-11
20134,Hummel Farms LLC,A,United States,Indiana,e0b72b0b-e477-42dc-a9de-8fceb9cec62a,2020-12-19,
20365,Steiner F. & Sons,I,Canada,Saskatchewan,2b8e09a1-d7d1-43a0-b007-35f194c858de,2013-07-18,2017-11-25
20392,Iverson D. Ag Enterprises,A,United States,Indiana,3ff584f8-af44-46b9-84c0-173821d7399c,2016-11-30,
20286,Dietrich & Sons,A,Australia,New South Wales,97d3b119-e051-451c-b6aa-e18294a9c973,2013-03-24,2014-01-12
20193,Hartley Ag Enterprises,A,United States,Iowa,91f6a299-67ec-4be8-9d83-58a6a4a143b9,2021-04-26,2022-05-21
20026,Hartley Family Farms Inc,A,United States,Indiana,6f204df6-5912-43b0-9e12-b62adb964bc9,2016-01-17,2024-10-28
20073,Merriweather Acres Ltd,A,United States,Iowa,d92b824b-ac35-429a-8cee-1ddaa33df2d3,2021-11-09,2026-02-16
20394,Dietrich M. Acres Ltd,A,United States,Nebraska,7ac45d78-a7f9-4a66-b987-a0e291a695fd,2020-01-02,2020-02-06
20219,Brenner & Sons,A,Canada,Ontario,53d8ddbc-5620-4bde-9c58-80f88452bb2b,2012-12-02,2014-08-17
20277,McAllister Family Farms Inc,A,Australia,Victoria,9c08eef4-4825-46da-b536-d4a7fb04d856,2016-12-04,2026-06-24
20046,Winters Farms,A,United States,Wisconsin,19e13f3d-43a8-4d63-89cf-27d6335c0fbd,2016-10-26,2019-07-21
20398,Tollefson M. Farms,A,Australia,Western Australia,0a953165-15a8-4450-a8b7-95ee1bdea5b7,2011-03-21,2018-11-02
20303,Vandermeer Ag Enterprises,A,Australia,Western Australia,7507ddfe-e0a9-4770-968a-d5847d1ee1e3,2022-03-14,2026-01-18
20119,Hummel Agri Partners,A,United States,Iowa,b938cd43-a042-4112-9c2e-f8ac6b788610,2010-10-20,2019-11-16
20359,Baxter S. & Sons,I,United States,Illinois,784864ac-d006-4d87-a1b3-da374b407fd8,2012-04-25,
20131,Winters Acres Ltd,A,Canada,Manitoba,04eac314-a7f3-43bd-8c4f-f7954f39094e,2022-09-23,
20274,Kowalski Family Farms Inc,A,Australia,New South Wales,b52fa267-7f69-447b-8665-fa8c7bcfa38e,2021-08-01,2025-07-03
20055,Dietrich Acres Ltd,A,United States,Nebraska,f5b94699-a6cb-4f1b-95ce-40201d74a3f2,2019-06-28,2022-07-22
20334,Marsh Farms,I,United States,North Dakota,43fc6fac-c599-4671-9945-d22a5ed10dfa,2016-07-19,2025-05-29
20101,Vandermeer Family Farms Inc,A,United States,Illinois,349c0c04-6e6d-4ca4-8610-f0cd23bb7cf7,2016-10-19,2017-12-16
20084,Crenshaw Acres Ltd,A,United States,Missouri,5bcfcea8-7f18-4e07-84c8-d00a1182d01a,2019-03-15,
20092,Oberlin Grain Co,A,United States,Kansas,b305c422-6265-46be-af5c-fb8fd2e18bdc,2013-02-04,2013-05-04
20361,Ivanov D. & Sons,P,United States,Ohio,677a011b-9362-4c1f-929c-bb7cc8ad3d4a,2017-03-31,2020-01-26
20196,McAllister Grain Co,A,United States,Ohio,49604cb4-40a2-438c-abc7-3fcc6b0011fc,2016-07-18,2024-05-06
20366,Lindqvist L. Acres Ltd,I,United States,Illinois,b753af11-01b6-4b69-9133-b634fb021680,2011-07-29,2019-08-29
20396,Ferreira L. & Sons,A,United States,Illinois,32fd3e8b-fc2e-4abb-952d-b6a21e1ead5d,2015-11-14,2024-07-20
20144,Tollefson Land & Cattle,A,Canada,Manitoba,d409b15d-60a3-4270-82bc-497342b4746a,2015-08-04,2016-02-24
20364,Crenshaw K. Agri Partners,P,United States,South Dakota,47e441a5-a217-4ad9-bf63-99cc979021d1,2016-08-08,2025-07-12
20192,Ferreira Farming Co,A,Canada,Alberta,1bb54a1e-50d2-4d92-9ae3-a858d656a01c,2020-05-16,2022-09-26
20244,Thompson Ag Enterprises,A,United States,Illinois,8ae4ac19-315b-4454-9424-b1bb1d893208,2022-10-28,2023-02-13
20256,Kerrigan Farms,A,United States,North Dakota,ac905d4c-d173-4f53-9c65-4972672a1be0,2021-06-26,2025-08-15
20374,Oberlin H. Agri Partners,I,United States,Kansas,bdd8627c-92d1-4c0e-a680-f673818cf6ca,2019-01-31,2024-12-10
20094,Quandt Family Farms Inc,A,United States,Illinois,9ae87ac5-49c1-405f-8f06-9d2c6c507bed,2010-04-23,2011-02-24
20230,Ashworth Farming Co,A,United States,Ohio,99cb3d2d-b0ba-44e3-b553-37a7b66fe0bf,2021-11-14,2022-02-21
20007,Tollefson Farms LLC,A,Canada,Alberta,205c90e3-d1fb-41be-b905-47992a5857a7,2015-03-07,2020-04-21
20343,Ferreira Acres Ltd,I,United States,North Dakota,ef03a1db-d83f-4291-bbd4-7153fdf0f256,2017-05-21,2025-02-24
20003,Bergstrom Ag Enterprises,A,United States,Iowa,4701c922-bf83-4009-9271-1f70a49f7518,2015-03-24,2018-04-07
20117,Prescott Ag Enterprises,A,Canada,Saskatchewan,e583a562-0b84-4a66-aff8-1c8e4066e296,2020-02-24,2025-11-21
20321,Albrecht Family Farms Inc,A,United States,Indiana,7e15294a-2e4b-4f0f-912e-c89d326ba71a,2015-08-17,2019-11-16
20107,Callahan Acres Ltd,A,Canada,Manitoba,edcfc535-0f32-47e6-89ca-05769aa5d2e1,2022-04-04,2025-02-08
20029,Jablonski Ag Enterprises,A,United States,Ohio,3d27dd2e-06c4-487f-8c8d-4795f908b7b0,2009-10-25,2023-06-09
20397,McAllister B. Acres Ltd,A,United States,Minnesota,b020f53c-7875-422f-b138-f26037ff1492,2017-11-12,2021-10-26
20210,Hartley Farms LLC,A,Canada,Alberta,be1282c8-1b69-44f6-96a4-1823dcf2fd0c,2021-08-12,2024-04-25
20257,Yancey Grain Co,A,United States,Illinois,208975f6-97db-451d-a042-7853008529c0,2010-07-19,2021-06-12
20280,Crenshaw Grain Co,A,Australia,Victoria,2d0eadb7-eb33-425c-b665-8ada47d62b67,2015-05-23,
